veg_uniqueID,year,sitecode,post,species_7code_NHIC,s_wdystemcount,m_wdystemcount,t_wdystemcount,vt_wdystemcount,sap_wdystemcount,sap_dbh_m,sap_height_m,within_browse,above_browse
1992_ROSF_C6_QUEMUEH,1992,ROSF,C6,QUEMUEH,1,0,0,0,0,0,0,1,0
1992_ROSF_C8_ACESACC,1992,ROSF,C8,ACESACC,1,0,0,0,0,0,0,1,0
1992_ROSF_C8_RUBIDAE,1992,ROSF,C8,RUBIDAE,5,8,0,0,0,0,0,13,0
1992_ROSF_D11_ACERUBR,1992,ROSF,D11,ACERUBR,1,0,0,0,0,0,0,1,0
1992_ROSF_D11_ACESACC,1992,ROSF,D11,ACESACC,1,0,0,0,0,0,0,1,0
1992_ROSF_D11_PINSTRO,1992,ROSF,D11,PINSTRO,1,0,0,0,0,0,0,1,0
1992_ROSF_D3_ACESACC,1992,ROSF,D3,ACESACC,7,0,0,0,0,0,0,7,0
1992_ROSF_D5_ACERUBR,1992,ROSF,D5,ACERUBR,1,0,0,0,0,0,0,1,0
1992_ROSF_D5_ACESACC,1992,ROSF,D5,ACESACC,37,0,0,0,0,0,0,37,0
1992_ROSF_D5_OSTVIRG,1992,ROSF,D5,OSTVIRG,1,0,0,0,0,0,0,1,0
1992_ROSF_D5_PRUSERO,1992,ROSF,D5,PRUSERO,1,0,0,0,0,0,0,1,0
1992_ROSF_D5_RUBIDAE,1992,ROSF,D5,RUBIDAE,4,1,0,0,0,0,0,5,0
1992_ROSF_D5_SAMCANA,1992,ROSF,D5,SAMCANA,2,0,0,0,0,0,0,2,0
1992_ROSF_D7_ACERUBR,1992,ROSF,D7,ACERUBR,4,0,0,0,0,0,0,4,0
1992_ROSF_D7_RUBALLE,1992,ROSF,D7,RUBALLE,2,1,1,0,0,0,0,4,0
1992_ROSF_D9_ACESACC,1992,ROSF,D9,ACESACC,13,0,0,0,0,0,0,13,0
1992_ROSF_D9_QUERUBR,1992,ROSF,D9,QUERUBR,1,0,0,0,0,0,0,1,0
1992_BGGR_B10_RUBIDAE,1992,BGGR,B10,RUBIDAE,12,0,0,0,0,0,0,12,0
1992_ROIS_C2_PRUSERO,1992,ROIS,C2,PRUSERO,1,0,0,0,0,0,0,1,0
1992_ROIS_C2_SASALBI,1992,ROIS,C2,SASALBI,0,1,0,0,0,0,0,1,0
1992_ROIS_C2_VITRIPA,1992,ROIS,C2,VITRIPA,2,1,0,0,0,0,0,3,0
1992_ROIS_C4_ROSRUBI,1992,ROIS,C4,ROSRUBI,1,0,0,0,0,0,0,1,0
1992_ROIS_C4_VITRIPA,1992,ROIS,C4,VITRIPA,1,0,0,0,0,0,0,1,0
1992_ROIS_D11_CEPOCCI,1992,ROIS,D11,CEPOCCI,0,0,1,0,0,0,0,1,0
1992_ROIS_D3_VITRIPA,1992,ROIS,D3,VITRIPA,0,1,0,0,0,0,0,1,0
1992_ROIS_D7_PRUSERO,1992,ROIS,D7,PRUSERO,1,0,0,0,0,0,0,1,0
1992_DCJS_C10_HYPKALM,1992,DCJS,C10,HYPKALM,1231,0,0,0,0,0,0,1231,0
1992_DCJS_C10_JUNVIRG,1992,DCJS,C10,JUNVIRG,2,0,0,0,0,0,0,2,0
1992_DCJS_C10_THUOCCI,1992,DCJS,C10,THUOCCI,1,0,0,0,0,0,0,1,0
1992_DCJS_C12_HYPKALM,1992,DCJS,C12,HYPKALM,122,0,0,0,0,0,0,122,0
1992_DCJS_C12_JUNCOMM,1992,DCJS,C12,JUNCOMM,1,0,0,0,0,0,0,1,0
1992_DCJS_C8_HYPKALM,1992,DCJS,C8,HYPKALM,40,0,0,0,0,0,0,40,0
1992_IDSS_B10_HYPKALM,1992,IDSS,B10,HYPKALM,195,6,0,0,0,0,0,201,0
1992_IDSS_B4_HYPKALM,1992,IDSS,B4,HYPKALM,175,7,0,0,0,0,0,182,0
1992_IDSS_B4_JUNVIRG,1992,IDSS,B4,JUNVIRG,0,0,0,1,0,0,0,0,1
1992_IDSS_B4_VITRIPA,1992,IDSS,B4,VITRIPA,1,0,0,0,0,0,0,1,0
1992_IDSS_B6_HYPKALM,1992,IDSS,B6,HYPKALM,75,16,0,0,0,0,0,91,0
1992_IDSS_B6_JUNVIRG,1992,IDSS,B6,JUNVIRG,0,1,2,1,0,0,0,3,1
1992_IDSS_B6_VITRIPA,1992,IDSS,B6,VITRIPA,5,2,0,0,0,0,0,7,0
1992_IDSS_B8_HYPKALM,1992,IDSS,B8,HYPKALM,46,15,0,0,0,0,0,61,0
1992_IDSS_B8_JUNVIRG,1992,IDSS,B8,JUNVIRG,0,0,3,0,0,0,0,3,0
1992_IDSS_B8_ROSRUBI,1992,IDSS,B8,ROSRUBI,4,0,0,0,0,0,0,4,0
1992_IDSS_B8_RUBIDAE,1992,IDSS,B8,RUBIDAE,2,0,0,0,0,0,0,2,0
1992_IDSS_B8_VITRIPA,1992,IDSS,B8,VITRIPA,2,0,0,0,0,0,0,2,0
1992_IDSS_D6_JUNCOMM,1992,IDSS,D6,JUNCOMM,1,0,0,0,0,0,0,1,0
1992_SRS2_B21_HYPKALM,1992,SRS2,B21,HYPKALM,111,0,0,0,0,0,0,111,0
1992_SRS2_B21_JUNVIRG,1992,SRS2,B21,JUNVIRG,1,0,0,0,0,0,0,1,0
1992_SRS2_B22_HYPKALM,1992,SRS2,B22,HYPKALM,127,0,0,0,0,0,0,127,0
1992_SRS2_C10_HYPKALM,1992,SRS2,C10,HYPKALM,834,2,0,0,0,0,0,836,0
1992_SRS2_C20_HYPKALM,1992,SRS2,C20,HYPKALM,25,0,0,0,0,0,0,25,0
1992_SRS2_C6_HYPKALM,1992,SRS2,C6,HYPKALM,11,0,0,0,0,0,0,11,0
1992_SRS2_C8_HYPKALM,1992,SRS2,C8,HYPKALM,9,0,0,0,0,0,0,9,0
1992_TMSL_B2_JUNCOMM,1992,TMSL,B2,JUNCOMM,36,43,0,0,0,0,0,79,0
1992_TMSL_B2_RUBIDAE,1992,TMSL,B2,RUBIDAE,3,0,0,0,0,0,0,3,0
1992_TMSL_B2_VITRIPA,1992,TMSL,B2,VITRIPA,0,6,0,0,0,0,0,6,0
1992_TMSL_B4_JUNCOMM,1992,TMSL,B4,JUNCOMM,49,4,0,0,0,0,0,53,0
1992_TMSL_B4_PARINSE,1992,TMSL,B4,PARINSE,4,0,0,0,0,0,0,4,0
1992_TMSL_B4_RUBIDAE,1992,TMSL,B4,RUBIDAE,0,75,0,0,0,0,0,75,0
1992_TMSL_B4_VITRIPA,1992,TMSL,B4,VITRIPA,6,0,0,0,0,0,0,6,0
1992_TMSL_B5_BETPAPY,1992,TMSL,B5,BETPAPY,0,6,7,0,0,0,0,13,0
1992_TMSL_B5_JUNCOMM,1992,TMSL,B5,JUNCOMM,1,0,0,0,0,0,0,1,0
1992_TMSL_B5_PARINSE,1992,TMSL,B5,PARINSE,1,0,0,0,0,0,0,1,0
1992_TMSL_B5_RUBIDAE,1992,TMSL,B5,RUBIDAE,3,1,0,0,0,0,0,4,0
1992_TMSL_B5_VITRIPA,1992,TMSL,B5,VITRIPA,0,3,0,0,0,0,0,3,0
1992_TMSL_B7_RUBIDAE,1992,TMSL,B7,RUBIDAE,0,2,0,0,0,0,0,2,0
1992_TMSL_B8_CEPOCCI,1992,TMSL,B8,CEPOCCI,1,1,0,0,0,0,0,2,0
1992_TMSL_B8_ROSRUBI,1992,TMSL,B8,ROSRUBI,7,0,0,0,0,0,0,7,0
1992_TMSL_B8_RUBIDAE,1992,TMSL,B8,RUBIDAE,34,6,0,0,0,0,0,40,0
1992_TMSL_B8_VITRIPA,1992,TMSL,B8,VITRIPA,1,1,0,0,0,0,0,2,0
1992_TMSL_B9_RUBIDAE,1992,TMSL,B9,RUBIDAE,20,39,4,0,0,0,0,63,0
1992_TMSL_C2_HYPKALM,1992,TMSL,C2,HYPKALM,12,0,0,0,0,0,0,12,0
1992_TMSL_C2_VITRIPA,1992,TMSL,C2,VITRIPA,2,0,0,0,0,0,0,2,0
1992_TMSL_C3_BETPAPY,1992,TMSL,C3,BETPAPY,3,0,0,0,0,0,0,3,0
1992_TMSL_C3_LARLARI,1992,TMSL,C3,LARLARI,0,0,0,6,0,0,0,0,6
1992_TMSL_C3_PARINSE,1992,TMSL,C3,PARINSE,1,0,0,0,0,0,0,1,0
1992_TMSL_C3_PRUVIRG,1992,TMSL,C3,PRUVIRG,1,0,0,0,0,0,0,1,0
1992_TMSL_C3_RUBIDAE,1992,TMSL,C3,RUBIDAE,22,46,7,0,0,0,0,75,0
1992_TMSL_C3_VITRIPA,1992,TMSL,C3,VITRIPA,20,1,1,0,0,0,0,22,0
1992_TMSL_C5_CEPOCCI,1992,TMSL,C5,CEPOCCI,2,0,0,0,0,0,0,2,0
1992_TMSL_C5_RUBIDAE,1992,TMSL,C5,RUBIDAE,9,19,6,0,0,0,0,34,0
1992_TMSL_C7_BETPAPY,1992,TMSL,C7,BETPAPY,0,3,0,0,0,0,0,3,0
1992_TMSL_C7_ROSRUBI,1992,TMSL,C7,ROSRUBI,2,7,0,0,0,0,0,9,0
1992_TMSL_C7_RUBIDAE,1992,TMSL,C7,RUBIDAE,69,150,2,0,0,0,0,221,0
1992_TMSL_C7_VITRIPA,1992,TMSL,C7,VITRIPA,0,0,1,1,0,0,0,1,1
1992_ROWP_B15_VITRIPA,1992,ROWP,B15,VITRIPA,2,0,0,0,0,0,0,2,0
1992_ROWP_B19_RUBIDAE,1992,ROWP,B19,RUBIDAE,12,2,0,0,0,0,0,14,0
1992_ROWP_B21_RUBIDAE,1992,ROWP,B21,RUBIDAE,8,0,0,0,0,0,0,8,0
1992_ROWP_B21_VITRIPA,1992,ROWP,B21,VITRIPA,4,0,0,0,0,0,0,4,0
1992_ROWP_B6_PRUVIRG,1992,ROWP,B6,PRUVIRG,1,0,0,0,0,0,0,1,0
1992_ROWP_B6_VITRIPA,1992,ROWP,B6,VITRIPA,0,1,0,0,0,0,0,1,0
1992_ROWP_B9_JUNVIRG,1992,ROWP,B9,JUNVIRG,3,2,1,1,0,0,0,6,1
1992_ROWP_C16_ROSRUBI,1992,ROWP,C16,ROSRUBI,1,1,0,0,0,0,0,2,0
1992_ROWP_C16_VITRIPA,1992,ROWP,C16,VITRIPA,3,1,0,0,0,0,0,4,0
1992_STDP_B1_BETPAPY,1992,STDP,B1,BETPAPY,0,1,0,0,0,0,0,1,0
1992_STDP_B1_DECVERT,1992,STDP,B1,DECVERT,3,21,0,0,0,0,0,24,0
1992_STDP_B1_RUBIDAE,1992,STDP,B1,RUBIDAE,8,18,0,0,0,0,0,26,0
1992_STDP_B12_CEPOCCI,1992,STDP,B12,CEPOCCI,1,0,0,0,0,0,0,1,0
1992_STDP_B12_DECVERT,1992,STDP,B12,DECVERT,8,9,0,0,0,0,0,17,0
1992_STDP_B13_ROSRUBI,1992,STDP,B13,ROSRUBI,0,3,1,0,0,0,0,4,0
1992_STDP_B13_RUBIDAE,1992,STDP,B13,RUBIDAE,18,20,1,0,0,0,0,39,0
1992_STDP_B13_VITRIPA,1992,STDP,B13,VITRIPA,4,1,0,0,0,0,0,5,0
1992_STDP_B15_RUBIDAE,1992,STDP,B15,RUBIDAE,31,26,0,0,0,0,0,57,0
1992_STDP_B17_PINSTRO,1992,STDP,B17,PINSTRO,0,1,0,0,0,0,0,1,0
1992_STDP_B17_RUBIDAE,1992,STDP,B17,RUBIDAE,4,15,0,0,0,0,0,19,0
1992_STDP_B20_RUBIDAE,1992,STDP,B20,RUBIDAE,8,11,0,0,0,0,0,19,0
1992_STDP_B20_VITRIPA,1992,STDP,B20,VITRIPA,4,2,0,0,0,0,0,6,0
1992_STDP_B3_ACERUBR,1992,STDP,B3,ACERUBR,0,1,0,0,0,0,0,1,0
1992_STDP_B3_CEPOCCI,1992,STDP,B3,CEPOCCI,0,0,3,2,0,0,0,3,2
1992_STDP_B3_DECVERT,1992,STDP,B3,DECVERT,2,13,2,0,0,0,0,17,0
1992_STDP_B3_RUBIDAE,1992,STDP,B3,RUBIDAE,1,10,0,0,0,0,0,11,0
1992_STDP_B5_ACERUBR,1992,STDP,B5,ACERUBR,0,0,1,0,0,0,0,1,0
1992_STDP_B5_CEPOCCI,1992,STDP,B5,CEPOCCI,0,1,0,0,0,0,0,1,0
1992_STDP_B5_DECVERT,1992,STDP,B5,DECVERT,15,60,2,0,0,0,0,77,0
1992_STDP_B5_LARLARI,1992,STDP,B5,LARLARI,0,0,0,1,0,0,0,0,1
1992_STDP_B7_DECVERT,1992,STDP,B7,DECVERT,1,0,0,0,0,0,0,1,0
1992_STDP_B9_DECVERT,1992,STDP,B9,DECVERT,4,0,0,0,0,0,0,4,0
1992_STDP_B9_RUBIDAE,1992,STDP,B9,RUBIDAE,18,1,0,0,0,0,0,19,0
1992_STDP_B9_VITRIPA,1992,STDP,B9,VITRIPA,1,0,0,0,0,0,0,1,0
1992_ROWB_B10_VITRIPA,1992,ROWB,B10,VITRIPA,2,0,0,0,0,0,0,2,0
1992_ROWB_B2_ACERUBR,1992,ROWB,B2,ACERUBR,1,0,0,0,0,0,0,1,0
1992_ROWB_B2_SASALBI,1992,ROWB,B2,SASALBI,37,29,1,0,0,0,0,67,0
1992_ROWB_B2_VITRIPA,1992,ROWB,B2,VITRIPA,1,0,0,0,0,0,0,1,0
1992_ROWB_B4_ACERUBR,1992,ROWB,B4,ACERUBR,1,0,0,0,0,0,0,1,0
1992_ROWB_B4_RUBIDAE,1992,ROWB,B4,RUBIDAE,63,21,0,0,0,0,0,84,0
1992_ROWB_B4_VITRIPA,1992,ROWB,B4,VITRIPA,1,0,0,0,0,0,0,1,0
1992_ROWB_B8_BETPAPY,1992,ROWB,B8,BETPAPY,17,0,0,0,0,0,0,17,0
1992_ROWB_B8_RUBIDAE,1992,ROWB,B8,RUBIDAE,5,1,0,0,0,0,0,6,0
1992_ROWB_B8_VITRIPA,1992,ROWB,B8,VITRIPA,1,0,0,0,0,0,0,1,0
1992_ROWB_C10_ROSRUBI,1992,ROWB,C10,ROSRUBI,0,1,0,0,0,0,0,1,0
1992_ROWB_C4_CEPOCCI,1992,ROWB,C4,CEPOCCI,14,0,0,0,0,0,0,14,0
1992_ROWB_C4_DECVERT,1992,ROWB,C4,DECVERT,3,16,8,0,0,0,0,27,0
1992_ROWB_C4_THUOCCI,1992,ROWB,C4,THUOCCI,2,0,0,0,0,0,0,2,0
1992_ROWB_C8_VITAEST,1992,ROWB,C8,VITAEST,3,2,0,0,0,0,0,5,0
1992_WPWC_B2_JUNCOMM,1992,WPWC,B2,JUNCOMM,0,12,0,0,0,0,0,12,0
1992_WPWC_B2_JUNVIRG,1992,WPWC,B2,JUNVIRG,1,0,0,0,0,0,0,1,0
1992_WPWC_B4_JUNCOMM,1992,WPWC,B4,JUNCOMM,7,10,1,0,0,0,0,18,0
1992_WPWC_B4_RUBIDAE,1992,WPWC,B4,RUBIDAE,32,2,0,0,0,0,0,34,0
1992_WPWC_D10_ROSPALU,1992,WPWC,D10,ROSPALU,29,20,0,0,0,0,0,49,0
1992_WPWC_D11_ACERUBR,1992,WPWC,D11,ACERUBR,1,0,0,0,0,0,0,1,0
1992_WPWC_D11_BETPAPY,1992,WPWC,D11,BETPAPY,0,0,1,0,0,0,0,1,0
1992_WPWC_D11_JUNCOMM,1992,WPWC,D11,JUNCOMM,5,9,0,0,0,0,0,14,0
1992_WPWC_D11_PINSTRO,1992,WPWC,D11,PINSTRO,0,1,0,0,0,0,0,1,0
1992_WPWC_D11_ROSPALU,1992,WPWC,D11,ROSPALU,0,3,0,0,0,0,0,3,0
1992_WPWC_D11_ROSRUBI,1992,WPWC,D11,ROSRUBI,1,0,0,0,0,0,0,1,0
1992_WPWC_D11_RUBIDAE,1992,WPWC,D11,RUBIDAE,54,13,0,0,0,0,0,67,0
1992_WPWC_D11_VITRIPA,1992,WPWC,D11,VITRIPA,4,1,0,0,0,0,0,5,0
1992_WPWC_D12_RUBIDAE,1992,WPWC,D12,RUBIDAE,22,31,2,0,0,0,0,55,0
1992_WPWC_D5_JUNCOMM,1992,WPWC,D5,JUNCOMM,16,21,2,0,0,0,0,39,0
1992_WPWC_D6_JUNCOMM,1992,WPWC,D6,JUNCOMM,21,51,0,0,0,0,0,72,0
1992_WPWC_D6_JUNVIRG,1992,WPWC,D6,JUNVIRG,3,7,0,0,0,0,0,10,0
1992_WPWC_D6_ROSRUBI,1992,WPWC,D6,ROSRUBI,0,1,0,0,0,0,0,1,0
1992_WPWC_D6_RUBIDAE,1992,WPWC,D6,RUBIDAE,3,1,0,0,0,0,0,4,0
1992_WPWC_D7_JUNCOMM,1992,WPWC,D7,JUNCOMM,3,3,0,0,0,0,0,6,0
1992_WPWC_D7_PRUSERO,1992,WPWC,D7,PRUSERO,1,0,0,0,0,0,0,1,0
1992_WPWC_D7_ROSRUBI,1992,WPWC,D7,ROSRUBI,5,1,1,0,0,0,0,7,0
1992_WPWC_D7_RUBIDAE,1992,WPWC,D7,RUBIDAE,14,0,0,0,0,0,0,14,0
1992_WPWC_D7_SYMALBU,1992,WPWC,D7,SYMALBU,16,5,0,0,0,0,0,21,0
1992_WPWC_D7_VITRIPA,1992,WPWC,D7,VITRIPA,2,0,0,0,0,0,0,2,0
1992_WPWC_E6_HYPKALM,1992,WPWC,E6,HYPKALM,1,0,0,0,0,0,0,1,0
1992_WPWC_E6_JUNCOMM,1992,WPWC,E6,JUNCOMM,90,5,0,0,0,0,0,95,0
1992_WPWC_E6_JUNVIRG,1992,WPWC,E6,JUNVIRG,51,17,1,0,0,0,0,69,0
1992_WPWC_E7_JUNCOMM,1992,WPWC,E7,JUNCOMM,90,1,0,0,0,0,0,91,0
1992_WPWC_E7_ROSRUBI,1992,WPWC,E7,ROSRUBI,7,0,0,0,0,0,0,7,0
1992_WPWC_E7_RUBIDAE,1992,WPWC,E7,RUBIDAE,25,1,0,0,0,0,0,26,0
1992_WPWC_E7_SYMALBU,1992,WPWC,E7,SYMALBU,14,0,0,0,0,0,0,14,0
1992_WPWC_E7_VITRIPA,1992,WPWC,E7,VITRIPA,2,0,0,0,0,0,0,2,0
1993_BGGR_B10_RUBIDAE,1993,BGGR,B10,RUBIDAE,29,0,0,0,0,0,0,29,0
1993_BGGR_B2_RUBIDAE,1993,BGGR,B2,RUBIDAE,1,0,0,0,0,0,0,1,0
1993_BGGR_C8_RUBIDAE,1993,BGGR,C8,RUBIDAE,1,0,0,0,0,0,0,1,0
1993_DCSD_C11_PRUVIRG,1993,DCSD,C11,PRUVIRG,0,1,0,0,0,0,0,1,0
1993_DCSD_C11_VITRIPA,1993,DCSD,C11,VITRIPA,0,5,0,0,0,0,0,5,0
1993_DCSD_C14_VITRIPA,1993,DCSD,C14,VITRIPA,1,0,0,0,0,0,0,1,0
1993_DCSD_C2_PRUVIRG,1993,DCSD,C2,PRUVIRG,1,0,0,0,0,0,0,1,0
1993_DCSD_C4_ROSRUBI,1993,DCSD,C4,ROSRUBI,1,0,0,0,0,0,0,1,0
1993_DCSD_C4_VITRIPA,1993,DCSD,C4,VITRIPA,1,3,0,0,0,0,0,4,0
1993_DCSD_C7_VITRIPA,1993,DCSD,C7,VITRIPA,1,0,0,0,0,0,0,1,0
1993_SRS1_C14_HYPKALM,1993,SRS1,C14,HYPKALM,276,0,0,0,0,0,0,276,0
1993_SRS1_C20_HYPKALM,1993,SRS1,C20,HYPKALM,2,0,0,0,0,0,0,2,0
1993_STDP_B1_DECVERT,1993,STDP,B1,DECVERT,7,0,0,0,0,0,0,7,0
1993_STDP_B1_RUBIDAE,1993,STDP,B1,RUBIDAE,5,5,0,0,0,0,0,10,0
1993_STDP_B13_ROSRUBI,1993,STDP,B13,ROSRUBI,0,0,4,0,0,0,0,4,0
1993_STDP_B13_RUBIDAE,1993,STDP,B13,RUBIDAE,34,22,3,0,0,0,0,59,0
1993_STDP_B13_VITRIPA,1993,STDP,B13,VITRIPA,3,1,0,0,0,0,0,4,0
1993_STDP_B15_RUBIDAE,1993,STDP,B15,RUBIDAE,65,29,0,0,0,0,0,94,0
1993_STDP_B17_PINSTRO,1993,STDP,B17,PINSTRO,0,0,1,0,0,0,0,1,0
1993_STDP_B20_RUBIDAE,1993,STDP,B20,RUBIDAE,33,7,0,0,0,0,0,40,0
1993_STDP_B20_VITRIPA,1993,STDP,B20,VITRIPA,5,7,0,0,0,0,0,12,0
1993_STDP_B3_CEPOCCI,1993,STDP,B3,CEPOCCI,0,1,5,1,0,0,0,6,1
1993_STDP_B3_DECVERT,1993,STDP,B3,DECVERT,12,2,0,0,0,0,0,14,0
1993_STDP_B3_RUBIDAE,1993,STDP,B3,RUBIDAE,10,4,0,0,0,0,0,14,0
1993_STDP_B5_CEPOCCI,1993,STDP,B5,CEPOCCI,0,1,0,0,0,0,0,1,0
1993_STDP_B5_DECVERT,1993,STDP,B5,DECVERT,9,2,0,0,0,0,0,11,0
1993_STDP_B5_LARLARI,1993,STDP,B5,LARLARI,0,0,0,1,0,0,0,0,1
1993_STDP_B9_RUBIDAE,1993,STDP,B9,RUBIDAE,3,1,0,0,0,0,0,4,0
1993_DCJS_C10_HYPKALM,1993,DCJS,C10,HYPKALM,1539,0,0,0,0,0,0,1539,0
1993_DCJS_C10_JUNVIRG,1993,DCJS,C10,JUNVIRG,2,0,0,0,0,0,0,2,0
1993_DCJS_C10_THUOCCI,1993,DCJS,C10,THUOCCI,1,0,0,0,0,0,0,1,0
1993_DCJS_C12_HYPKALM,1993,DCJS,C12,HYPKALM,134,0,0,0,0,0,0,134,0
1993_DCJS_C12_JUNVIRG,1993,DCJS,C12,JUNVIRG,1,0,0,0,0,0,0,1,0
1993_DCJS_C8_HYPKALM,1993,DCJS,C8,HYPKALM,33,0,0,0,0,0,0,33,0
1993_WPWC_B2_JUNCOMM,1993,WPWC,B2,JUNCOMM,0,7,0,0,0,0,0,7,0
1993_WPWC_B2_JUNVIRG,1993,WPWC,B2,JUNVIRG,1,0,0,0,0,0,0,1,0
1993_WPWC_B4_JUNCOMM,1993,WPWC,B4,JUNCOMM,6,12,2,0,0,0,0,20,0
1993_WPWC_B4_RUBIDAE,1993,WPWC,B4,RUBIDAE,24,0,0,0,0,0,0,24,0
