site_size_ha,site_code_abcd,site_name,sampling_year_yyyy,year_site,species_banding_code_abcd,species_common_name,breeding_territories,tree_density
10.9,IDSS,Intergrading Dune - Swale Savannah,1991,1991_IDSS,EUST,European Starling,5,2.772166673
10.9,IDSS,Intergrading Dune - Swale Savannah,1991,1991_IDSS,KILL,Killdeer,3,2.772166673
10.9,IDSS,Intergrading Dune - Swale Savannah,1991,1991_IDSS,MALL,Mallard,1,2.772166673
10.9,IDSS,Intergrading Dune - Swale Savannah,1991,1991_IDSS,NOMO,Northern Mockingbird,2,2.772166673
10.9,IDSS,Intergrading Dune - Swale Savannah,1991,1991_IDSS,RWBL,Red-winged Blackbird,2.5,2.772166673
10.9,IDSS,Intergrading Dune - Swale Savannah,1991,1991_IDSS,SOSP,Song Sparrow,5,2.772166673
10.9,IDSS,Intergrading Dune - Swale Savannah,1991,1991_IDSS,TRES,Tree Swallow,6,2.772166673
13.1,RARO,Red Ash - Red Oak Savannah,1991,1991_RARO,AMGO,American Goldfinch,2,13.78355153
13.1,RARO,Red Ash - Red Oak Savannah,1991,1991_RARO,AMWO,American Woodcock,1,13.78355153
13.1,RARO,Red Ash - Red Oak Savannah,1991,1991_RARO,BAOR,Baltimore Oriole,6,13.78355153
13.1,RARO,Red Ash - Red Oak Savannah,1991,1991_RARO,BCCH,Black-capped Chickadee,1.5,13.78355153
13.1,RARO,Red Ash - Red Oak Savannah,1991,1991_RARO,BHCO,Brown-headed Cowbird,3.5,13.78355153
13.1,RARO,Red Ash - Red Oak Savannah,1991,1991_RARO,BLJA,Blue Jay,1,13.78355153
13.1,RARO,Red Ash - Red Oak Savannah,1991,1991_RARO,COGR,Common Grackle,4.5,13.78355153
13.1,RARO,Red Ash - Red Oak Savannah,1991,1991_RARO,COYE,Common Yellowthroat,7,13.78355153
13.1,RARO,Red Ash - Red Oak Savannah,1991,1991_RARO,DOWO,Downy Woodpecker,2,13.78355153
13.1,RARO,Red Ash - Red Oak Savannah,1991,1991_RARO,EAKI,Eastern Kingbird,5,13.78355153
13.1,RARO,Red Ash - Red Oak Savannah,1991,1991_RARO,EATO,Eastern Towhee,1,13.78355153
13.1,RARO,Red Ash - Red Oak Savannah,1991,1991_RARO,EAWP,Eastern Wood-pewee,9,13.78355153
13.1,RARO,Red Ash - Red Oak Savannah,1991,1991_RARO,EUST,European Starling,5.5,13.78355153
13.1,RARO,Red Ash - Red Oak Savannah,1991,1991_RARO,FISP,Field Sparrow,2.5,13.78355153
13.1,RARO,Red Ash - Red Oak Savannah,1991,1991_RARO,GCFL,Great Crested Flycatcher,2,13.78355153
13.1,RARO,Red Ash - Red Oak Savannah,1991,1991_RARO,GHOW,Great Horned Owl,0.25,13.78355153
13.1,RARO,Red Ash - Red Oak Savannah,1991,1991_RARO,GRCA,Gray Catbird,1,13.78355153
13.1,RARO,Red Ash - Red Oak Savannah,1991,1991_RARO,HAWO,Hairy Woodpecker,1,13.78355153
13.1,RARO,Red Ash - Red Oak Savannah,1991,1991_RARO,HOWR,House Wren,11.5,13.78355153
13.1,RARO,Red Ash - Red Oak Savannah,1991,1991_RARO,NOFL,Northern Flicker,1.5,13.78355153
13.1,RARO,Red Ash - Red Oak Savannah,1991,1991_RARO,REVI,Red-eyed Vireo,3,13.78355153
13.1,RARO,Red Ash - Red Oak Savannah,1991,1991_RARO,RWBL,Red-winged Blackbird,18,13.78355153
13.1,RARO,Red Ash - Red Oak Savannah,1991,1991_RARO,SOSP,Song Sparrow,14,13.78355153
13.1,RARO,Red Ash - Red Oak Savannah,1991,1991_RARO,TRES,Tree Swallow,7,13.78355153
13.1,RARO,Red Ash - Red Oak Savannah,1991,1991_RARO,WAVI,Warbling Vireo,1,13.78355153
13.1,RARO,Red Ash - Red Oak Savannah,1991,1991_RARO,YWAR,Yellow Warbler,9.5,13.78355153
9.2,ROIS,Red Oak - Ironwood Savannah,1991,1991_ROIS,AMGO,American Goldfinch,4,4.796102469
9.2,ROIS,Red Oak - Ironwood Savannah,1991,1991_ROIS,AMRE,American Redstart,3,4.796102469
9.2,ROIS,Red Oak - Ironwood Savannah,1991,1991_ROIS,AMRO,American Robin,1,4.796102469
9.2,ROIS,Red Oak - Ironwood Savannah,1991,1991_ROIS,BAOR,Baltimore Oriole,5.5,4.796102469
9.2,ROIS,Red Oak - Ironwood Savannah,1991,1991_ROIS,BCCH,Black-capped Chickadee,3,4.796102469
9.2,ROIS,Red Oak - Ironwood Savannah,1991,1991_ROIS,BHCO,Brown-headed Cowbird,3,4.796102469
9.2,ROIS,Red Oak - Ironwood Savannah,1991,1991_ROIS,CARW,Carolina Wren,1,4.796102469
9.2,ROIS,Red Oak - Ironwood Savannah,1991,1991_ROIS,CEDW,Cedar Waxwing,1,4.796102469
9.2,ROIS,Red Oak - Ironwood Savannah,1991,1991_ROIS,COGR,Common Grackle,5.5,4.796102469
9.2,ROIS,Red Oak - Ironwood Savannah,1991,1991_ROIS,COYE,Common Yellowthroat,9,4.796102469
9.2,ROIS,Red Oak - Ironwood Savannah,1991,1991_ROIS,DOWO,Downy Woodpecker,2.5,4.796102469
9.2,ROIS,Red Oak - Ironwood Savannah,1991,1991_ROIS,EAKI,Eastern Kingbird,7.5,4.796102469
9.2,ROIS,Red Oak - Ironwood Savannah,1991,1991_ROIS,EAWP,Eastern Wood-pewee,14.5,4.796102469
9.2,ROIS,Red Oak - Ironwood Savannah,1991,1991_ROIS,EUST,European Starling,7.5,4.796102469
9.2,ROIS,Red Oak - Ironwood Savannah,1991,1991_ROIS,GCFL,Great Crested Flycatcher,2,4.796102469
9.2,ROIS,Red Oak - Ironwood Savannah,1991,1991_ROIS,GHOW,Great Horned Owl,1,4.796102469
9.2,ROIS,Red Oak - Ironwood Savannah,1991,1991_ROIS,HOWR,House Wren,12.5,4.796102469
9.2,ROIS,Red Oak - Ironwood Savannah,1991,1991_ROIS,LEFL,Least Flycatcher,4,4.796102469
9.2,ROIS,Red Oak - Ironwood Savannah,1991,1991_ROIS,NOCA,Northern Cardinal,1,4.796102469
9.2,ROIS,Red Oak - Ironwood Savannah,1991,1991_ROIS,NOFL,Northern Flicker,0.5,4.796102469
9.2,ROIS,Red Oak - Ironwood Savannah,1991,1991_ROIS,REVI,Red-eyed Vireo,2,4.796102469
9.2,ROIS,Red Oak - Ironwood Savannah,1991,1991_ROIS,RWBL,Red-winged Blackbird,28,4.796102469
9.2,ROIS,Red Oak - Ironwood Savannah,1991,1991_ROIS,SOSP,Song Sparrow,19.5,4.796102469
9.2,ROIS,Red Oak - Ironwood Savannah,1991,1991_ROIS,SWSP,Swamp Sparrow,1,4.796102469
9.2,ROIS,Red Oak - Ironwood Savannah,1991,1991_ROIS,TRES,Tree Swallow,8,4.796102469
9.2,ROIS,Red Oak - Ironwood Savannah,1991,1991_ROIS,WAVI,Warbling Vireo,5.5,4.796102469
9.2,ROIS,Red Oak - Ironwood Savannah,1991,1991_ROIS,YWAR,Yellow Warbler,11.5,4.796102469
12.5,ROMF,Red Oak - Sugar Maple Forest,1991,1991_ROMF,AMRO,American Robin,2,NOTFOUND
12.5,ROMF,Red Oak - Sugar Maple Forest,1991,1991_ROMF,AMWO,American Woodcock,1,NOTFOUND
12.5,ROMF,Red Oak - Sugar Maple Forest,1991,1991_ROMF,BAOR,Baltimore Oriole,11,NOTFOUND
12.5,ROMF,Red Oak - Sugar Maple Forest,1991,1991_ROMF,BCCH,Black-capped Chickadee,2.5,NOTFOUND
12.5,ROMF,Red Oak - Sugar Maple Forest,1991,1991_ROMF,BHCO,Brown-headed Cowbird,1,NOTFOUND
12.5,ROMF,Red Oak - Sugar Maple Forest,1991,1991_ROMF,BLJA,Blue Jay,2,NOTFOUND
12.5,ROMF,Red Oak - Sugar Maple Forest,1991,1991_ROMF,COGR,Common Grackle,7,NOTFOUND
12.5,ROMF,Red Oak - Sugar Maple Forest,1991,1991_ROMF,COYE,Common Yellowthroat,4.5,NOTFOUND
12.5,ROMF,Red Oak - Sugar Maple Forest,1991,1991_ROMF,DOWO,Downy Woodpecker,4.5,NOTFOUND
12.5,ROMF,Red Oak - Sugar Maple Forest,1991,1991_ROMF,EAKI,Eastern Kingbird,6.5,NOTFOUND
12.5,ROMF,Red Oak - Sugar Maple Forest,1991,1991_ROMF,EATO,Eastern Towhee,2,NOTFOUND
12.5,ROMF,Red Oak - Sugar Maple Forest,1991,1991_ROMF,EAWP,Eastern Wood-pewee,9,NOTFOUND
12.5,ROMF,Red Oak - Sugar Maple Forest,1991,1991_ROMF,EUST,European Starling,2,NOTFOUND
12.5,ROMF,Red Oak - Sugar Maple Forest,1991,1991_ROMF,GCFL,Great Crested Flycatcher,4.5,NOTFOUND
12.5,ROMF,Red Oak - Sugar Maple Forest,1991,1991_ROMF,HOWR,House Wren,14,NOTFOUND
12.5,ROMF,Red Oak - Sugar Maple Forest,1991,1991_ROMF,NOCA,Northern Cardinal,2,NOTFOUND
12.5,ROMF,Red Oak - Sugar Maple Forest,1991,1991_ROMF,NOFL,Northern Flicker,3,NOTFOUND
12.5,ROMF,Red Oak - Sugar Maple Forest,1991,1991_ROMF,RBWO,Red-bellied Woodpecker,2,NOTFOUND
12.5,ROMF,Red Oak - Sugar Maple Forest,1991,1991_ROMF,REVI,Red-eyed Vireo,9,NOTFOUND
12.5,ROMF,Red Oak - Sugar Maple Forest,1991,1991_ROMF,RHWO,Red-headed Woodpecker,1,NOTFOUND
12.5,ROMF,Red Oak - Sugar Maple Forest,1991,1991_ROMF,RWBL,Red-winged Blackbird,15,NOTFOUND
12.5,ROMF,Red Oak - Sugar Maple Forest,1991,1991_ROMF,SOSP,Song Sparrow,11.5,NOTFOUND
12.5,ROMF,Red Oak - Sugar Maple Forest,1991,1991_ROMF,TRES,Tree Swallow,11,NOTFOUND
12.5,ROMF,Red Oak - Sugar Maple Forest,1991,1991_ROMF,WBNU,White-breasted Nuthatch,2,NOTFOUND
12.5,ROMF,Red Oak - Sugar Maple Forest,1991,1991_ROMF,YWAR,Yellow Warbler,5.5,NOTFOUND
7.9,ROMS,Red Oak - Sugar Maple Savannah,1991,1991_ROMS,AMRE,American Redstart,4,7.338917196
7.9,ROMS,Red Oak - Sugar Maple Savannah,1991,1991_ROMS,AMRO,American Robin,3,7.338917196
7.9,ROMS,Red Oak - Sugar Maple Savannah,1991,1991_ROMS,AMWO,American Woodcock,1,7.338917196
7.9,ROMS,Red Oak - Sugar Maple Savannah,1991,1991_ROMS,BAOR,Baltimore Oriole,8,7.338917196
7.9,ROMS,Red Oak - Sugar Maple Savannah,1991,1991_ROMS,BCCH,Black-capped Chickadee,2,7.338917196
7.9,ROMS,Red Oak - Sugar Maple Savannah,1991,1991_ROMS,BHCO,Brown-headed Cowbird,2,7.338917196
7.9,ROMS,Red Oak - Sugar Maple Savannah,1991,1991_ROMS,BLJA,Blue Jay,1,7.338917196
7.9,ROMS,Red Oak - Sugar Maple Savannah,1991,1991_ROMS,CEDW,Cedar Waxwing,1,7.338917196
7.9,ROMS,Red Oak - Sugar Maple Savannah,1991,1991_ROMS,COGR,Common Grackle,4.5,7.338917196
7.9,ROMS,Red Oak - Sugar Maple Savannah,1991,1991_ROMS,COYE,Common Yellowthroat,8.5,7.338917196
7.9,ROMS,Red Oak - Sugar Maple Savannah,1991,1991_ROMS,DOWO,Downy Woodpecker,2,7.338917196
7.9,ROMS,Red Oak - Sugar Maple Savannah,1991,1991_ROMS,EAKI,Eastern Kingbird,4.5,7.338917196
7.9,ROMS,Red Oak - Sugar Maple Savannah,1991,1991_ROMS,EAWP,Eastern Wood-pewee,11.5,7.338917196
7.9,ROMS,Red Oak - Sugar Maple Savannah,1991,1991_ROMS,EUST,European Starling,6.5,7.338917196
7.9,ROMS,Red Oak - Sugar Maple Savannah,1991,1991_ROMS,GCFL,Great Crested Flycatcher,3,7.338917196
7.9,ROMS,Red Oak - Sugar Maple Savannah,1991,1991_ROMS,HOWR,House Wren,7,7.338917196
7.9,ROMS,Red Oak - Sugar Maple Savannah,1991,1991_ROMS,NOCA,Northern Cardinal,1,7.338917196
7.9,ROMS,Red Oak - Sugar Maple Savannah,1991,1991_ROMS,NOFL,Northern Flicker,2,7.338917196
7.9,ROMS,Red Oak - Sugar Maple Savannah,1991,1991_ROMS,REVI,Red-eyed Vireo,4,7.338917196
7.9,ROMS,Red Oak - Sugar Maple Savannah,1991,1991_ROMS,RWBL,Red-winged Blackbird,21.5,7.338917196
7.9,ROMS,Red Oak - Sugar Maple Savannah,1991,1991_ROMS,SOSP,Song Sparrow,15,7.338917196
7.9,ROMS,Red Oak - Sugar Maple Savannah,1991,1991_ROMS,TRES,Tree Swallow,6,7.338917196
7.9,ROMS,Red Oak - Sugar Maple Savannah,1991,1991_ROMS,WAVI,Warbling Vireo,4,7.338917196
7.9,ROMS,Red Oak - Sugar Maple Savannah,1991,1991_ROMS,WBNU,White-breasted Nuthatch,1,7.338917196
7.9,ROMS,Red Oak - Sugar Maple Savannah,1991,1991_ROMS,YWAR,Yellow Warbler,13,7.338917196
8.9,ROWB,Red Oak - White Birch Savannah,1991,1991_ROWB,AMGO,American Goldfinch,0.5,11.56272688
8.9,ROWB,Red Oak - White Birch Savannah,1991,1991_ROWB,AMRO,American Robin,2.5,11.56272688
8.9,ROWB,Red Oak - White Birch Savannah,1991,1991_ROWB,BAOR,Baltimore Oriole,4,11.56272688
8.9,ROWB,Red Oak - White Birch Savannah,1991,1991_ROWB,BGGN,Blue-gray Gnatcatcher,1,11.56272688
8.9,ROWB,Red Oak - White Birch Savannah,1991,1991_ROWB,BHCO,Brown-headed Cowbird,1,11.56272688
8.9,ROWB,Red Oak - White Birch Savannah,1991,1991_ROWB,BLJA,Blue Jay,1,11.56272688
8.9,ROWB,Red Oak - White Birch Savannah,1991,1991_ROWB,BTNW,Black-throated Green Warbler,0.25,11.56272688
8.9,ROWB,Red Oak - White Birch Savannah,1991,1991_ROWB,CHSP,Chipping Sparrow,1,11.56272688
8.9,ROWB,Red Oak - White Birch Savannah,1991,1991_ROWB,COGR,Common Grackle,2,11.56272688
8.9,ROWB,Red Oak - White Birch Savannah,1991,1991_ROWB,COYE,Common Yellowthroat,4,11.56272688
8.9,ROWB,Red Oak - White Birch Savannah,1991,1991_ROWB,DOWO,Downy Woodpecker,1,11.56272688
8.9,ROWB,Red Oak - White Birch Savannah,1991,1991_ROWB,EAKI,Eastern Kingbird,2,11.56272688
8.9,ROWB,Red Oak - White Birch Savannah,1991,1991_ROWB,EAWP,Eastern Wood-pewee,3,11.56272688
8.9,ROWB,Red Oak - White Birch Savannah,1991,1991_ROWB,EUST,European Starling,1,11.56272688
8.9,ROWB,Red Oak - White Birch Savannah,1991,1991_ROWB,EWPW,Eastern Whip-poor-will,1,11.56272688
8.9,ROWB,Red Oak - White Birch Savannah,1991,1991_ROWB,GCFL,Great Crested Flycatcher,3,11.56272688
8.9,ROWB,Red Oak - White Birch Savannah,1991,1991_ROWB,HOWR,House Wren,11,11.56272688
8.9,ROWB,Red Oak - White Birch Savannah,1991,1991_ROWB,MODO,Mourning Dove,1,11.56272688
8.9,ROWB,Red Oak - White Birch Savannah,1991,1991_ROWB,NOFL,Northern Flicker,2,11.56272688
8.9,ROWB,Red Oak - White Birch Savannah,1991,1991_ROWB,RHWO,Red-headed Woodpecker,2,11.56272688
8.9,ROWB,Red Oak - White Birch Savannah,1991,1991_ROWB,RWBL,Red-winged Blackbird,10,11.56272688
8.9,ROWB,Red Oak - White Birch Savannah,1991,1991_ROWB,SOSP,Song Sparrow,3,11.56272688
8.9,ROWB,Red Oak - White Birch Savannah,1991,1991_ROWB,TRES,Tree Swallow,9,11.56272688
8.9,ROWB,Red Oak - White Birch Savannah,1991,1991_ROWB,WAVI,Warbling Vireo,1,11.56272688
8.9,ROWB,Red Oak - White Birch Savannah,1991,1991_ROWB,YWAR,Yellow Warbler,2.5,11.56272688
11.4,ROWP,Red Oak - White Pine Savannah,1991,1991_ROWP,ABDU,American Black Duck,1,6.541420829
11.4,ROWP,Red Oak - White Pine Savannah,1991,1991_ROWP,AMGO,American Goldfinch,2,6.541420829
11.4,ROWP,Red Oak - White Pine Savannah,1991,1991_ROWP,AMRO,American Robin,2,6.541420829
11.4,ROWP,Red Oak - White Pine Savannah,1991,1991_ROWP,BAOR,Baltimore Oriole,3,6.541420829
11.4,ROWP,Red Oak - White Pine Savannah,1991,1991_ROWP,CAGO,Canada Goose,1,6.541420829
11.4,ROWP,Red Oak - White Pine Savannah,1991,1991_ROWP,CEDW,Cedar Waxwing,1,6.541420829
11.4,ROWP,Red Oak - White Pine Savannah,1991,1991_ROWP,COGR,Common Grackle,2,6.541420829
11.4,ROWP,Red Oak - White Pine Savannah,1991,1991_ROWP,COYE,Common Yellowthroat,0.5,6.541420829
11.4,ROWP,Red Oak - White Pine Savannah,1991,1991_ROWP,EAKI,Eastern Kingbird,3,6.541420829
11.4,ROWP,Red Oak - White Pine Savannah,1991,1991_ROWP,EAWP,Eastern Wood-pewee,3,6.541420829
11.4,ROWP,Red Oak - White Pine Savannah,1991,1991_ROWP,EUST,European Starling,3,6.541420829
11.4,ROWP,Red Oak - White Pine Savannah,1991,1991_ROWP,HOWR,House Wren,5,6.541420829
11.4,ROWP,Red Oak - White Pine Savannah,1991,1991_ROWP,MALL,Mallard,1,6.541420829
11.4,ROWP,Red Oak - White Pine Savannah,1991,1991_ROWP,MAWR,Marsh Wren,4,6.541420829
11.4,ROWP,Red Oak - White Pine Savannah,1991,1991_ROWP,PROW,Prothonotary Warbler,1,6.541420829
11.4,ROWP,Red Oak - White Pine Savannah,1991,1991_ROWP,REVI,Red-eyed Vireo,1,6.541420829
11.4,ROWP,Red Oak - White Pine Savannah,1991,1991_ROWP,RWBL,Red-winged Blackbird,23,6.541420829
11.4,ROWP,Red Oak - White Pine Savannah,1991,1991_ROWP,SOSP,Song Sparrow,16,6.541420829
11.4,ROWP,Red Oak - White Pine Savannah,1991,1991_ROWP,TRES,Tree Swallow,8.5,6.541420829
11.4,ROWP,Red Oak - White Pine Savannah,1991,1991_ROWP,YWAR,Yellow Warbler,2.5,6.541420829
13.6,SRS1,Sedge - Rush Swale #1,1991,1991_SRS1,EABL,Eastern Bluebird,0.5,7.5
13.6,SRS1,Sedge - Rush Swale #1,1991,1991_SRS1,EAKI,Eastern Kingbird,1,7.5
13.6,SRS1,Sedge - Rush Swale #1,1991,1991_SRS1,KILL,Killdeer,2.5,7.5
13.6,SRS1,Sedge - Rush Swale #1,1991,1991_SRS1,RWBL,Red-winged Blackbird,2.5,7.5
13.6,SRS1,Sedge - Rush Swale #1,1991,1991_SRS1,SPSA,Spotted Sandpiper,3.5,7.5
14.6,SRS2,Sedge - Rush Swale #2,1991,1991_SRS2,BHCO,Brown-headed Cowbird,0.25,2.465753425
14.6,SRS2,Sedge - Rush Swale #2,1991,1991_SRS2,CHSP,Chipping Sparrow,1,2.465753425
14.6,SRS2,Sedge - Rush Swale #2,1991,1991_SRS2,EAKI,Eastern Kingbird,0.5,2.465753425
14.6,SRS2,Sedge - Rush Swale #2,1991,1991_SRS2,KILL,Killdeer,2.5,2.465753425
14.6,SRS2,Sedge - Rush Swale #2,1991,1991_SRS2,RWBL,Red-winged Blackbird,2,2.465753425
14.6,SRS2,Sedge - Rush Swale #2,1991,1991_SRS2,SPSA,Spotted Sandpiper,1.5,2.465753425
15,STDP,Sedge - Tamarack Dune Pond,1991,1991_STDP,BAOR,Baltimore Oriole,1,3.434890541
15,STDP,Sedge - Tamarack Dune Pond,1991,1991_STDP,BCCH,Black-capped Chickadee,1,3.434890541
15,STDP,Sedge - Tamarack Dune Pond,1991,1991_STDP,COGR,Common Grackle,1,3.434890541
15,STDP,Sedge - Tamarack Dune Pond,1991,1991_STDP,COYE,Common Yellowthroat,4,3.434890541
15,STDP,Sedge - Tamarack Dune Pond,1991,1991_STDP,EAKI,Eastern Kingbird,3.5,3.434890541
15,STDP,Sedge - Tamarack Dune Pond,1991,1991_STDP,HOWR,House Wren,0.5,3.434890541
15,STDP,Sedge - Tamarack Dune Pond,1991,1991_STDP,RWBL,Red-winged Blackbird,30,3.434890541
15,STDP,Sedge - Tamarack Dune Pond,1991,1991_STDP,SOSP,Song Sparrow,9,3.434890541
15,STDP,Sedge - Tamarack Dune Pond,1991,1991_STDP,TRES,Tree Swallow,4,3.434890541
15,STDP,Sedge - Tamarack Dune Pond,1991,1991_STDP,YWAR,Yellow Warbler,4.5,3.434890541
11,TMSL,Tamarack Slough,1991,1991_TMSL,AMGO,American Goldfinch,3,32.20726216
11,TMSL,Tamarack Slough,1991,1991_TMSL,AMWO,American Woodcock,2,32.20726216
11,TMSL,Tamarack Slough,1991,1991_TMSL,BAOR,Baltimore Oriole,2.5,32.20726216
11,TMSL,Tamarack Slough,1991,1991_TMSL,BBCU,Black-billed Cuckoo,1,32.20726216
11,TMSL,Tamarack Slough,1991,1991_TMSL,BCCH,Black-capped Chickadee,4,32.20726216
11,TMSL,Tamarack Slough,1991,1991_TMSL,BLJA,Blue Jay,1,32.20726216
11,TMSL,Tamarack Slough,1991,1991_TMSL,BRTH,Brown Thrasher,3,32.20726216
11,TMSL,Tamarack Slough,1991,1991_TMSL,CARW,Carolina Wren,3,32.20726216
11,TMSL,Tamarack Slough,1991,1991_TMSL,CEDW,Cedar Waxwing,1,32.20726216
11,TMSL,Tamarack Slough,1991,1991_TMSL,CHSP,Chipping Sparrow,1,32.20726216
11,TMSL,Tamarack Slough,1991,1991_TMSL,COGR,Common Grackle,6.5,32.20726216
11,TMSL,Tamarack Slough,1991,1991_TMSL,COYE,Common Yellowthroat,10.5,32.20726216
11,TMSL,Tamarack Slough,1991,1991_TMSL,EAKI,Eastern Kingbird,3,32.20726216
11,TMSL,Tamarack Slough,1991,1991_TMSL,EATO,Eastern Towhee,1,32.20726216
11,TMSL,Tamarack Slough,1991,1991_TMSL,EAWP,Eastern Wood-pewee,3,32.20726216
11,TMSL,Tamarack Slough,1991,1991_TMSL,FISP,Field Sparrow,1,32.20726216
11,TMSL,Tamarack Slough,1991,1991_TMSL,GCFL,Great Crested Flycatcher,2,32.20726216
11,TMSL,Tamarack Slough,1991,1991_TMSL,GRCA,Gray Catbird,3,32.20726216
11,TMSL,Tamarack Slough,1991,1991_TMSL,HOWR,House Wren,10,32.20726216
11,TMSL,Tamarack Slough,1991,1991_TMSL,MALL,Mallard,1,32.20726216
11,TMSL,Tamarack Slough,1991,1991_TMSL,MODO,Mourning Dove,3.5,32.20726216
11,TMSL,Tamarack Slough,1991,1991_TMSL,NOCA,Northern Cardinal,1,32.20726216
11,TMSL,Tamarack Slough,1991,1991_TMSL,NOFL,Northern Flicker,0.5,32.20726216
11,TMSL,Tamarack Slough,1991,1991_TMSL,RWBL,Red-winged Blackbird,12,32.20726216
11,TMSL,Tamarack Slough,1991,1991_TMSL,SOSP,Song Sparrow,10.5,32.20726216
11,TMSL,Tamarack Slough,1991,1991_TMSL,SWSP,Swamp Sparrow,1,32.20726216
11,TMSL,Tamarack Slough,1991,1991_TMSL,TRES,Tree Swallow,2.5,32.20726216
11,TMSL,Tamarack Slough,1991,1991_TMSL,YWAR,Yellow Warbler,2,32.20726216
12.8,WPWC,White Pine - White Cedar Savannah,1991,1991_WPWC,AMRO,American Robin,1,46.34465165
12.8,WPWC,White Pine - White Cedar Savannah,1991,1991_WPWC,BAOR,Baltimore Oriole,4.5,46.34465165
12.8,WPWC,White Pine - White Cedar Savannah,1991,1991_WPWC,BCCH,Black-capped Chickadee,2,46.34465165
12.8,WPWC,White Pine - White Cedar Savannah,1991,1991_WPWC,BHCO,Brown-headed Cowbird,1,46.34465165
12.8,WPWC,White Pine - White Cedar Savannah,1991,1991_WPWC,BLJA,Blue Jay,1,46.34465165
12.8,WPWC,White Pine - White Cedar Savannah,1991,1991_WPWC,BRTH,Brown Thrasher,1.5,46.34465165
